condition,artifact,level,patient_id,modality,mse,psnr
ringing_L10,ringing,10,BraTS20_Training_001,t1,0.03492148965597153,14.569072387474067
ringing_L10,ringing,10,BraTS20_Training_001,t1ce,0.023639997467398643,16.263525743176373
ringing_L10,ringing,10,BraTS20_Training_001,t2,0.023784037679433823,16.237144157793537
ringing_L10,ringing,10,BraTS20_Training_004,flair,0.01410766877233982,18.505447454912048
ringing_L10,ringing,10,BraTS20_Training_004,t1,0.03031914308667183,15.182830773799887
ringing_L10,ringing,10,BraTS20_Training_004,t1ce,0.02187662571668625,16.600196634004433
ringing_L10,ringing,10,BraTS20_Training_004,t2,0.02322084829211235,16.34121918884521
ringing_L10,ringing,10,BraTS20_Training_006,flair,0.01661173813045025,17.7958492378157
ringing_L10,ringing,10,BraTS20_Training_006,t1,0.03708155080676079,14.308421112930482
ringing_L10,ringing,10,BraTS20_Training_006,t1ce,0.026570342481136322,15.756028476706756
ringing_L10,ringing,10,BraTS20_Training_006,t2,0.02777017466723919,15.564213886408266
ringing_L10,ringing,10,BraTS20_Training_010,flair,0.03643084317445755,14.385307771034983
ringing_L10,ringing,10,BraTS20_Training_010,t1,0.03239375352859497,14.89538726509452
ringing_L10,ringing,10,BraTS20_Training_010,t1ce,0.021063540130853653,16.764686355205228
ringing_L10,ringing,10,BraTS20_Training_010,t2,0.030656084418296814,15.134833166741618
ringing_L10,ringing,10,BraTS20_Training_016,flair,0.011535371653735638,19.379684085493565
ringing_L10,ringing,10,BraTS20_Training_016,t1,0.02810639515519142,15.511948521727641
ringing_L10,ringing,10,BraTS20_Training_016,t1ce,0.017616398632526398,17.540828708321474
ringing_L10,ringing,10,BraTS20_Training_016,t2,0.02750522457063198,15.60584804835716
ringing_L6,ringing,6,BraTS20_Training_001,flair,0.0024977396242320538,26.02452836439469
ringing_L6,ringing,6,BraTS20_Training_001,t1,0.003330735256895423,24.77459885783385
ringing_L6,ringing,6,BraTS20_Training_001,t1ce,0.004823421593755484,23.166447766765863
ringing_L6,ringing,6,BraTS20_Training_001,t2,0.0025596071500331163,25.918266853385493
ringing_L6,ringing,6,BraTS20_Training_004,flair,0.002247661119326949,26.48269166902136
ringing_L6,ringing,6,BraTS20_Training_004,t1,0.0030313138850033283,25.183690911919513
ringing_L6,ringing,6,BraTS20_Training_004,t1ce,0.00579668115824461,22.368205869887497
ringing_L6,ringing,6,BraTS20_Training_004,t2,0.0038109852466732264,24.18962732492805
ringing_L6,ringing,6,BraTS20_Training_006,flair,0.003233240218833089,24.903620275758737
ringing_L6,ringing,6,BraTS20_Training_006,t1,0.003856501542031765,24.13806490647691
ringing_L6,ringing,6,BraTS20_Training_006,t1ce,0.005596592091023922,22.520763455987513
ringing_L6,ringing,6,BraTS20_Training_006,t2,0.005005883052945137,23.00519300563566
ringing_L6,ringing,6,BraTS20_Training_010,flair,0.00835473369807005,20.780673884159363
ringing_L6,ringing,6,BraTS20_Training_010,t1,0.0034716366790235043,24.594657318110865
ringing_L6,ringing,6,BraTS20_Training_010,t1ce,0.006208424922078848,22.070185663956998
ringing_L6,ringing,6,BraTS20_Training_010,t2,0.00701889768242836,21.537310884441258
ringing_L6,ringing,6,BraTS20_Training_016,flair,0.001316146575845778,28.806957417735774
